iter	Passed	Remaining
866	1195	183
867	1196	181
868	1197	180
869	1199	179
870	1200	177
871	1202	176
872	1203	175
873	1204	173
874	1206	172
875	1207	170
876	1208	169
877	1210	168
878	1211	166
879	1212	165
880	1214	163
881	1215	162
882	1216	161
883	1218	159
884	1219	158
885	1221	157
886	1222	155
887	1224	154
888	1225	152
889	1226	151
890	1228	150
891	1229	148
892	1230	147
893	1232	146
894	1233	144
895	1234	143
896	1236	141
897	1237	140
898	1238	139
899	1240	137
900	1241	136
901	1242	135
902	1244	133
903	1245	132
904	1247	130
905	1248	129
906	1249	128
907	1251	126
908	1252	125
909	1255	124
910	1256	122
911	1258	121
912	1259	120
913	1261	118
914	1262	117
915	1264	115
916	1265	114
917	1267	113
918	1268	111
919	1269	110
920	1271	109
921	1272	107
922	1273	106
923	1275	104
924	1276	103
925	1277	102
926	1279	100
927	1280	99
928	1281	97
929	1283	96
930	1284	95
931	1286	93
932	1287	92
933	1289	91
934	1290	89
935	1291	88
936	1293	86
937	1294	85
938	1296	84
939	1297	82
940	1298	81
941	1300	80
942	1301	78
943	1302	77
944	1304	75
945	1305	74
946	1306	73
947	1308	71
948	1309	70
949	1310	68
950	1312	67
951	1313	66
952	1314	64
953	1316	63
954	1317	62
955	1318	60
956	1320	59
957	1321	57
958	1322	56
959	1324	55
960	1325	53
961	1326	52
962	1328	51
963	1329	49
964	1331	48
965	1332	46
966	1333	45
967	1335	44
968	1337	42
969	1338	41
970	1340	40
971	1341	38
972	1342	37
973	1343	35
974	1345	34
975	1346	33
976	1347	31
977	1349	30
978	1350	28
979	1351	27
980	1353	26
981	1354	24
982	1355	23
983	1357	22
984	1358	20
985	1360	19
986	1361	17
987	1362	16
988	1363	15
989	1365	13
990	1366	12
991	1367	11
992	1369	9
993	1370	8
994	1371	6
995	1373	5
996	1374	4
997	1376	2
998	1377	1
999	1378	0
